Area,Year,"Stock, large animals","Stock, cattle","Stock, horse","Stock, donkey","Stock, mule","Stock, camel","Slaughtered, pig","Stock, pig","Stock, goat & sheep","Stock, goat","Stock, sheep","Slaughtered, cattle","Slaughtered, goat & sheep","Slaughtered, birds","Meat Production, livestocks","Meat Production, pig, cattle, goat & sheep","Meat Production, pig","Meat Production, cattle","Meat Production, goat & sheep","Milk Production, total","Milk Production, cow","Wool Production, sheep","Wool Production, sheep, fine","Wool Production, sheep, semi-fine","Wool Production, goat, thick","Wool Production, goat, cashmere","Egg Production, birds",Honey Production
Yunnan,2014,922.3283837,750.8329837,68.8715,37.511,65.1129,,3496.49032,2678.85485,1008.029673,932.7468812,75.28279209,287.3,807.1,19701.8,378.5235329,340.5130684,292.3834342,33.57687168,14.55276257,64.6011,58.2,1411,215,865,87,6,24.26,0.9751
Xizang,2014,652.4807,613.0607,30.56,7.44,1.42,,18.16993175,39.84640959,1457.083154,519.305292,937.7778623,125.6,449.5,166.4,26.38729276,25.46614395,1.541878051,16.04363983,7.880626068,34.32268912,28.99137612,7607.29,503.54,2781.58,841.79,924.47,0.476739782,0.00167
Shaanxi,2014,168.2171,150.62,0.8069,12.9021,3.8881,,1231.41,879.41,700.166448,567.1348229,133.0316251,53.1,474.2,5043.7,116.7459742,106.969584,91.8,7.681152,7.488432,192.3128,144.67,7184.52,2801.01,3153.42,2868.55,2205.31,54.5,0.6266173
Gansu,2014,618.82,454.6,15.19,103.17,43.45,2.41,722.3,619.6,1960.5,426.1,1534.4,172.3,1114.3,3616.2,95.47297539,88.67,52.7,18.06,17.91,40.2774,39.6,31866,9693,6603,2141,428,15.45,0.1484
Qinghai,2014,484.74,452.93,19.04,5.51,6.21,1.05,140.46,120.56,1457.07,190.38,1266.69,110.6,635.3,412.4,33.39005535,32.06,10.53,10.61,10.92,31.2584,30.5,17110,572,6188,931,397,2.18,0.1533
Ningxia,2014,110.922,103.1158,0.1694,5.7129,1.8938,0.0301,101.2,75.4325,611.9534,103.1124,508.841,58.7,552,1204.4,28.50680455,25.959495,7.651375,8.79412,9.514,135.74,135.74,10269,1727,2785,846,491,8.303163057,0.0971
Xinjiang,2014,575.88,383.85,89.42,85.71,0.92,15.98,475.4972919,303.6,3883.98,506.3795412,3377.600459,239.4,3327.6,7274.6,149.2543045,126.6232467,33.85529216,39.15762,53.61033455,155.6454481,147.5254481,92900,14900,13600,3900,1200,30.51985817,0.97
Beijing,2015,18.0752,17.4848,0.1931,0.3296,0.0677,,284.4164,165.6081,69.3511,18.9699,50.3812,8.4,71,6688.4,36.41074,25.2198,22.4782,1.5461,1.1955,57.2155,57.2155,176.9,8.4,29.4,45,32.3,19.58,0.16313
Tianjin,2015,29.9835,29.28,0.0561,0.5575,0.0899,,377.997,196.9437,47.96,5.66,42.3,19.6,68.6,8019.3,45.7536065,34.21646,29.21286,3.3936,1.61,68,68,707.281,119.531,587.75,1.584,,20.2,0.0171779
Hebei,2015,493.199625,412.481525,15.9719,47.3404,17.3728,0.033,3551.086208,1865.652537,1450.094553,475.7824656,974.3120878,325.4,2255,58435,462.4515386,359.8944618,275.031204,53.190669,31.6725888,480.9345,473.1369,36308,6655,22956,3115,946,373.594184,1.2882
Shanxi,2015,122.001146,101.059846,1.1469,12.7421,7.0459,0.0064,783.6711489,485.9129404,1001.461493,436.223868,565.237625,40.2,484.4,8780.9,85.57296641,73.03030494,60.25080494,5.8754,6.9041,92.73965979,91.87274779,9195.38,3161.9,4369.48,1555.33,1216.77,87.24036676,0.508244
