Area,Year,Urban or Rural,Main Grain,"Main Grain, cereal",Edible Oil,"Edible Oil, vegetable",Vegetable & Fungus,Meat of Mammal,Pigmeat,Bovine Meat,Mutton & Goat Meat,Poultry Meat,"Fish, Seafood",Eggs,Milk,Melon & Fruit,Sugar
Anhui,2016,Rural,169.8,157.5,10,9.1,94.7,20.5,16.6,1.1,0.7,11.8,9.7,11,7.8,39.2,1.1
Fujian,2016,Rural,164.5,154.7,10.1,8.2,92.1,30.5,26.3,1.1,0.5,13.6,21.9,8,7.3,32.2,1.9
Jiangxi,2016,Rural,172,164.4,12.3,11.5,110.1,19.9,17,0.9,0.1,6.7,8.3,5.7,6,27.2,0.9
Shandong,2016,Rural,138.6,129.5,8.3,8.2,80.5,16,10.8,0.3,0.8,5.6,6.8,15.5,11.8,54.4,1
Henan,2016,Rural,126.9,118.9,7.5,7.4,73.7,12.4,9,0.7,0.5,4.5,2.8,11.3,5.8,46.4,1.3
Hubei,2016,Rural,137.2,126.4,15.5,14.9,123.2,24.5,21.4,0.8,0.5,4.6,12.2,8.1,4.1,26.3,0.9
Hunan,2016,Rural,183.3,175.2,10.9,7.7,100.3,26,23.7,0.9,0.4,10.3,9,7.6,2.7,44.5,1.4
Guangdong,2016,Rural,164.3,155.8,10.3,9.7,100.4,35.8,31,0.9,0.4,22,18.8,6.4,2.9,26.7,2.1
Guangxi,2016,Rural,168.3,162.6,6.8,4.9,80,27.4,25.5,0.5,0.4,18.4,7.6,4.5,2.2,31,1.1
Hainan,2016,Rural,105.5,102.4,6.6,4.7,76.6,26.7,23.2,0.9,0.4,18.2,22,3.8,1.5,16.2,1
Chongqing,2016,Rural,205.3,190,13.1,11.3,142.2,35.9,32.8,0.4,0.5,7.4,7.2,10.1,8.5,29.9,3.2
Sichuan,2016,Rural,184.4,171.9,12.2,10.7,122.6,33.2,31.3,0.5,0.4,10,5.6,8.6,6.9,28.5,1.9
Guizhou,2016,Rural,144.1,132.8,7.1,5.4,86.1,29.4,28.1,0.6,0.2,3.6,1.2,3.3,1.9,22.9,0.9
Yunnan,2016,Rural,151.8,142.9,7,4.4,89.5,29.9,28.1,0.9,0.5,7.6,2.5,4.3,2.2,18.9,1.3
Xizang,2016,Rural,326.5,319.2,20.6,14.7,16,41,9.1,19.8,11.5,0.1,0,1.7,21.6,2.1,3.7
Shaanxi,2016,Rural,149.3,139.9,10.5,10.4,66.8,10.3,8.6,0.2,0.7,1.7,0.8,5.1,7.3,29.7,0.8
Gansu,2016,Rural,179,166.2,7.8,7.7,60,15.6,11.9,0.6,2.2,3.7,0.9,5.7,6.7,41.1,1.8
Qinghai,2016,Rural,144.8,133.5,9.6,8.9,47.7,26.7,13.2,4.6,8.3,2.5,0.7,2.6,13.8,18.8,1.5
Ningxia,2016,Rural,144.3,136.8,8.3,8.3,76.7,15.2,6.5,3.2,4.9,5.7,1.2,4,8.1,63,1.4
Xinjiang,2016,Rural,192,190.8,14.8,14.7,90.5,20.6,1.4,4.3,14.4,4.1,1,5,13.8,55.1,0.9
"China, mainland",2017,Rural,154.6,144.8,10.1,9.2,90.2,23.6,19.5,0.9,1,7.9,7.4,8.9,6.9,38.4,1.4
Beijing,2017,Rural,96.7,86.9,9,9,88.7,22.2,14.4,1.7,3,4,5.6,11.8,12.9,51.7,1.2
Tianjin,2017,Rural,153.9,142.9,12.8,12.7,99,22,14.4,0.9,2.3,4.1,12.6,16.7,12,81.8,1.7
Hebei,2017,Rural,134.3,125.8,9.5,9.3,75.1,15.9,10.9,0.5,0.9,3.2,3.7,13,8.3,51.5,1.2
Shanxi,2017,Rural,159.4,142.5,7.8,7.7,64.9,10.6,8.2,0.2,0.9,1.7,1.2,10.2,9.6,37.1,1.2
Neimenggu,2017,Rural,168.8,157.5,6.5,6.1,69.8,31.6,19.2,2.8,8,4.4,3,7.2,14.6,37.3,1.3
